timestamp,event_type,category,device,email,error_type,items_count,latency_ms,price,product_id,product_name,quantity,session_id,status,user_id
2026-05-22T23:28:50.505Z,product_viewed,Componentes,desktop,,,,,1600,1,Tarjeta Gráfica RTX 4090,,sess_5sxa40vn9k,,1
2026-05-23T02:50:41.505Z,product_viewed,Componentes,mobile,,,,,1600,1,Tarjeta Gráfica RTX 4090,,sess_4i8himgaz4x,,1
2026-05-22T22:35:52.558Z,user_registered,,mobile,navegante_4305@technova.com,,,53,,,,,sess_10bxb3esl1tl,success,3747
2026-05-23T20:49:35.560Z,user_registered,,desktop,comprador_34909@technova.com,,,55,,,,,sess_cyzdz46563b,success,3745
2026-05-23T03:18:55.562Z,user_registered,,desktop,comprador_85710@technova.com,,,57,,,,,sess_an0ju48vx5,success,3748
2026-05-23T17:26:47.564Z,user_registered,,desktop,comprador_67322@technova.com,,,59,,,,,sess_8vlb1mqnxzb,success,3751
2026-05-23T14:27:05.566Z,user_registered,,desktop,comprador_98638@technova.com,,,61,,,,,sess_95npx4uc7bp,success,3744
2026-05-23T18:59:46.568Z,user_registered,,desktop,comprador_94423@technova.com,,,63,,,,,sess_i41ouyyvn5,success,3749
2026-05-23T02:23:36.569Z,user_registered,,desktop,comprador_93160@technova.com,,,64,,,,,sess_jngwkvlnbqe,success,3746
2026-05-23T22:12:45.575Z,user_registered,,desktop,navegante_94661@technova.com,,,70,,,,,sess_sxt5xgg2lmr,success,3750
2026-05-23T09:40:11.575Z,user_registered,,desktop,navegante_76617@technova.com,,,70,,,,,sess_qj2gn1celcn,success,3754
2026-05-23T20:53:21.577Z,user_registered,,mobile,comprador_7532@technova.com,,,72,,,,,sess_msj9nuc75m,success,3753
2026-05-23T10:31:49.577Z,user_registered,,desktop,comprador_6197@technova.com,,,72,,,,,sess_4dg0xiy4l75,success,3752
2026-05-23T02:28:20.006Z,order_attempted,,mobile,,,,,1600,1,Tarjeta Gráfica RTX 4090,,sess_1eyesl803s6,,1
2026-05-22T23:24:17.006Z,order_attempted,,desktop,,,,,1600,1,Tarjeta Gráfica RTX 4090,,sess_s655x2hcbyk,,1
2026-05-23T14:59:33.029Z,order_failed,,desktop,,Sin stock suficiente,,23,1600,1,Tarjeta Gráfica RTX 4090,,sess_8udyqah5trb,out_of_stock,1
2026-05-22T23:44:48.029Z,order_failed,,desktop,,Sin stock suficiente,,23,1600,1,Tarjeta Gráfica RTX 4090,,sess_2apv3qzxts6,out_of_stock,1
2026-05-23T14:12:13.529Z,product_viewed,Componentes,desktop,,,,,1600,1,Tarjeta Gráfica RTX 4090,,sess_lmrzi0np24j,,2
2026-05-23T00:38:46.529Z,product_viewed,Componentes,desktop,,,,,1600,1,Tarjeta Gráfica RTX 4090,,sess_axpt6jz7ix,,2
2026-05-23T21:54:02.576Z,user_logged_in,,mobile,comprador_34909@technova.com,,,16,,,,,sess_moj621k3ns,success,3745
2026-05-23T01:17:45.579Z,user_logged_in,,mobile,comprador_67322@technova.com,,,14,,,,,sess_rbloxsxob1j,success,3751
2026-05-23T21:17:58.586Z,user_logged_in,,desktop,comprador_7532@technova.com,,,9,,,,,sess_3yg5t8buhct,success,3753
2026-05-23T18:39:29.587Z,user_logged_in,,mobile,comprador_6197@technova.com,,,9,,,,,sess_q1dguekgyj8,success,3752
2026-05-23T03:42:51.587Z,user_logged_in,,desktop,comprador_85710@technova.com,,,24,,,,,sess_ufjw5o694fd,success,3748
2026-05-23T03:19:07.588Z,user_logged_in,,desktop,comprador_93160@technova.com,,,19,,,,,sess_pymzhpf0pfr,success,3746
